Publicerad	Period	Institut	VänsterpartietV	SocialdemokraternaS	MiljöpartietMP	CenterpartietC	LiberalernaL	ModeraternaM	KristdemokraternaKD	SverigedemokraternaSD	Övriga partierÖvriga
5 okt	25 sep - 2 okt	Demoskop	7.7 %	30.6 %	3.5 %	8.7 %	4.8 %	18.8 %	6.1 %	18.0 %	1.8 %
18 okt	1 - 4 okt	Novus	8.4 %	28.3 %	4.4 %	8.4 %	4.6 %	19.7 %	6.0 %	18.8 %	1.4 %
18 okt	1 - 8 okt	Inizio	7.3 %	29.7 %	4.3 %	8.7 %	4.9 %	19.8 %	6.3 %	17.9 %	1.1 %
22 okt	8 - 18 okt	Sifo	7.8 %	28.5 %	4.3 %	8.8 %	5.3 %	19.2 %	6.4 %	18.3 %	1.4 %
25 okt	16 - 24 okt	Ipsos	8.1 %	28.6 %	4.8 %	9.2 %	5.0 %	19.1 %	5.1 %	18.8 %	1.3 %
8 nov	26 okt - 6 nov	Inizio	7.8 %	29.4 %	3.8 %	9.8 %	4.0 %	18.2 %	5.9 %	18.9 %	2.2 %
8 nov	30 okt - 6 nov	Demoskop	7.8 %	29.2 %	4.2 %	8.8 %	4.1 %	18.3 %	4.9 %	21.1 %	1.6 %
10 nov	31 okt - 5 nov	Sentio	9.3 %	28.1 %	3.8 %	9.3 %	3.3 %	18.6 %	5.3 %	20.2 %	2.1 %
16 nov	15 okt - 11 nov	Novus	7.9 %	29.8 %	4.3 %	8.9 %	3.7 %	19.2 %	5.9 %	19.2 %	1.1 %
16 nov	5 - 15 nov	Sifo	7.6 %	29.0 %	4.1 %	9.0 %	4.9 %	18.1 %	6.7 %	19.3 %	1.3 %
21 nov	14 - 19 nov	Inizio	7.3 %	29.3 %	3.5 %	9.2 %	3.9 %	19.1 %	7.0 %	18.8 %	1.9 %
22 nov	8 - 19 nov	Ipsos	8.2 %	28.3 %	4.1 %	10.1 %	4.5 %	18.2 %	5.3 %	20.0 %	1.3 %
4 dec	29 okt - 27 nov	SCB	8.4 %	30.5 %	4.0 %	8.6 %	4.3 %	19.2 %	5.4 %	18.3 %	1.3 %
6 dec	27 nov - 4 dec	Demoskop	8.0 %	28.4 %	4.1 %	8.4 %	4.4 %	18.9 %	5.8 %	20.7 %	1.3 %
8 dec	29 nov - 3 dec	Sentio	8.0 %	28.4 %	3.9 %	6.9 %	4.2 %	18.0 %	6.1 %	22.3 %	2.2 %
14 dec	3 - 13 dec	Sifo	7.7 %	29.7 %	4.2 %	7.7 %	4.0 %	19.0 %	6.6 %	20.0 %	1.1 %
14 dec	4 - 12 dec	Inizio	7.2 %	29.4 %	3.7 %	9.0 %	3.3 %	18.5 %	7.7 %	19.4 %	1.8 %
18 dec	5 - 16 dec	Ipsos	8.0 %	32.0 %	4.0 %	7.0 %	4.0 %	18.0 %	8.0 %	18.0 %	1.0 %
20 dec	12 nov - 16 dec	Novus	7.7 %	30.0 %	4.0 %	8.6 %	3.9 %	18.3 %	6.5 %	19.8 %	1.2 %
27 dec	19 - 26 dec	Inizio	7.7 %	29.8 %	4.2 %	8.4 %	3.2 %	18.3 %	8.2 %	18.8 %	1.4 %
10 jan	2 - 8 jan	Demoskop	8.0 %	30.2 %	3.8 %	6.9 %	4.5 %	17.1 %	7.7 %	19.5 %	2.3 %
17 jan	2 - 13 jan	Novus	7.6 %	31.8 %	3.9 %	7.6 %	3.4 %	18.9 %	6.2 %	19.2 %	1.4 %
18 jan	14 - 17 jan	Sifo	8.5 %	29.3 %	3.9 %	6.9 %	3.6 %	19.5 %	7.5 %	19.9 %	0.9 %
23 jan	10 - 20 jan	Ipsos	8.0 %	30.0 %	4.0 %	8.0 %	5.0 %	18.0 %	7.0 %	18.0 %	2.0 %
24 jan	3 - 17 jan	Skop	8.9 %	30.2 %	3.1 %	8.3 %	4.0 %	18.1 %	9.5 %	16.9 %	1.0 %
25 jan	16 - 23 jan	Inizio	9.7 %	28.2 %	3.8 %	8.3 %	3.2 %	19.0 %	8.3 %	18.4 %	1.1 %
2 feb	24 - 30 jan	Sentio	9.5 %	27.8 %	4.0 %	7.1 %	3.9 %	17.7 %	7.3 %	20.4 %	2.3 %
8 feb	14 jan - 3 feb	Novus	9.1 %	29.0 %	3.4 %	7.5 %	2.7 %	18.3 %	7.4 %	21.2 %	1.4 %
9 feb	29 jan - 5 feb	Demoskop	9.6 %	27.9 %	3.2 %	8.5 %	3.3 %	19.5 %	7.0 %	19.4 %	1.6 %
15 feb	4 - 14 feb	Sifo	9.6 %	28.4 %	4.3 %	7.7 %	3.8 %	17.2 %	8.6 %	19.2 %	1.2 %
20 feb	11 - 18 feb	Inizio	9.2 %	27.1 %	3.4 %	9.7 %	2.7 %	17.7 %	9.0 %	19.5 %	1.7 %
21 feb	7 - 20 feb	Ipsos	10.0 %	28.0 %	4.0 %	8.0 %	4.0 %	17.0 %	9.0 %	19.0 %	1.0 %
27 feb	22 - 25 feb	Sentio	10.5 %	26.5 %	3.4 %	5.5 %	2.6 %	18.3 %	9.4 %	21.4 %	2.4 %
6 mar	4 feb - 3 mar	Novus	9.1 %	28.2 %	4.0 %	7.3 %	3.5 %	18.3 %	8.6 %	19.3 %	1.7 %
10 mar	26 feb - 5 mar	Demoskop	9.3 %	25.8 %	4.1 %	7.5 %	3.0 %	18.4 %	10.6 %	19.4 %	1.9 %
15 mar	4 - 14 mar	Sifo	9.8 %	27.4 %	3.8 %	8.3 %	3.3 %	17.5 %	9.4 %	19.1 %	1.4 %
27 mar	12 - 25 mar	Ipsos	10.0 %	27.0 %	4.0 %	8.0 %	4.0 %	18.0 %	9.0 %	19.0 %	1.0 %
28 mar	22 - 27 mar	Sentio	10.2 %	24.7 %	3.9 %	6.1 %	3.1 %	17.4 %	12.7 %	19.2 %	2.7 %
29 mar	7 - 27 mar	Skop	8.8 %	28.7 %	3.1 %	9.5 %	4.2 %	18.0 %	10.1 %	16.5 %	1.1 %
29 mar	23 - 29 mar	Inizio	8.6 %	26.5 %	4.2 %	9.1 %	3.3 %	16.5 %	12.1 %	18.2 %	1.5 %
3 apr	4 - 31 mar	Novus	9.7 %	27.2 %	3.5 %	8.2 %	3.7 %	17.5 %	10.6 %	18.1 %	1.5 %
7 apr	26 mar - 3 apr	Demoskop	9.6 %	25.4 %	4.5 %	8.2 %	3.9 %	16.6 %	11.7 %	18.0 %	2.1 %
12 apr	1 - 11 apr	Sifo	8.7 %	27.3 %	4.6 %	7.5 %	3.4 %	16.0 %	12.2 %	18.9 %	1.4 %
13 apr	4 - 10 apr	Sentio	9.3 %	25.6 %	4.3 %	6.4 %	3.8 %	17.5 %	10.7 %	20.1 %	2.3 %
24 apr	9 - 22 apr	Ipsos	10.0 %	27.0 %	4.0 %	8.0 %	4.0 %	16.0 %	12.0 %	17.0 %	2.0 %
30 apr	22 - 29 apr	Inizio	9.5 %	25.6 %	3.9 %	9.3 %	4.2 %	15.7 %	11.4 %	18.6 %	1.8 %
