"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
0.638,1.3,0.621,-1.265,-0.43,-0.98,-0.98,0.163,-1.725,-0.17,0.374,0.981,0.084,-0.248,1.254,-0.63,-1.193,-0.576,-0.468,-1.787,-2.075,0.239,0.539,0.724,0.239,-1.581,-1.37,0.01,-1.155,-2.245,0.241,0.003,0.057,0.027,1.747,1.137,-1.644,1.678,-0.083,1.679,-1.297,0.594,-1.729,0.258,-0.227,1.484,0.846,-0.278,-0.091,0.891,0.064,0.099,1.219,-0.582,1.657,-0.568,0.034,-0.481,0.01,-0.189,-1.388,-1.533,-1.007,0.501,-0.187,-1.354,-0.212,0.575,1.827,-1.074,1.504,0.366,1.616,1.055,-0.756,-1.421,1.739,-1.37,0.1,-0.431,2.473,-0.5,-1.362,0.399,0.305,-2.015,0.223,-0.034,1.066,0.238,0.157,-1.358,1.029,-0.621,0.743,0.952,-0.605,0.84,-1.674,0.572
-0.068,-2.559,1.991,0.607,-1.121,-0.001,0.001,1.269,-2.58,1.945,0.28,-0.403,0.5,-0.422,1.195,-0.92,0.633,0.246,0.172,0.412,-0.44,0.153,1.498,2.601,0.423,-1.272,-0.704,-1.324,-0.849,-0.166,-0.418,-0.909,0.188,-0.139,0.835,-0.268,-1.776,-0.448,-0.097,1.069,1.304,0.895,1.038,0.63,-1.836,-0.255,0.195,-1.136,-0.114,0.343,0.651,-0.391,0.038,0.776,-1.212,-0.531,1.358,-0.645,-0.418,-0.294,-1.23,0.568,-0.476,-0.997,-0.196,0.271,-0.208,-0.777,0.447,1.763,-1.463,0.276,-0.366,0.67,0.564,0.037,-1.682,1.521,-0.189,1.557,0.38,1.236,-0.355,0.708,-0.349,1.133,-2.265,-1.814,-1.139,0.778,-0.119,1.349,0.358,-1.35,-0.485,0.632,0.259,-0.065,1.156,-0.239
1.238,-0.551,1.163,-0.84,-1.43,0.804,0.804,-3.546,0.894,0.5,-0.142,0.943,1.394,1.007,1.07,-1.677,-0.582,-0.071,0.028,-0.076,-0.369,-0.559,0.322,0.585,1.602,-1.419,-0.119,-0.509,0.035,0.958,0.905,-0.949,-0.218,-0.432,-0.97,-0.511,1.271,-0.07,0.887,-0.222,-2.036,0.791,-0.586,0.261,0.787,0.658,-0.274,0.825,-1.165,-1.091,-0.874,-0.17,-0.327,-1.127,0.205,-0.291,2.021,-0.061,0.727,1.794,-1.824,0.529,-1.342,0.691,1.204,-1.661,-0.727,1.211,-0.024,-0.479,-0.386,-0.294,-1.277,-0.54,-0.125,-1.382,-2.217,-0.448,-0.006,-0.207,-0.911,-0.655,1.184,0.084,-0.044,0.984,-0.78,-0.635,0.087,-1.543,0.742,0.441,-0.452,0.76,-0.852,1.541,1.809,0.872,-0.209,0.757
0.734,0.686,-0.873,0.861,-0.4,-0.072,0.072,1.107,0.095,0.307,1.214,0.242,0.196,-1.396,-1.384,1.499,-0.57,-0.368,-1.261,-1.103,1.332,0.292,-0.337,-0.043,-0.271,-0.231,-2.363,-1.6,-0.436,0.814,-0.127,-0.134,1.268,-1.029,-0.983,-0.242,1.884,1.052,1.537,-0.212,-1.247,-0.075,0.106,0.11,-0.828,0.122,-0.726,-0.899,-0.996,0.54,1.024,-0.97,-0.497,0.503,0.969,1.183,0.088,-1.295,-0.993,-0.657,-0.501,-0.099,-0.593,-0.539,-0.155,0.053,-2.943,-1.421,0.527,0.534,-0.164,-0.044,-0.243,-0.05,-0.919,-0.915,1.171,-2.353,-0.179,0.003,0.205,2.321,0.466,-1.419,1.092,-0.12,-0.939,0.502,-0.895,0.165,1.2,-0.32,-0.723,0.787,-0.685,0.097,0.95,-0.15,-0.839,0.552
-0.778,0.863,-1.232,1.462,5.195,0.623,0.623,-1.115,1.117,-0.33,0.125,0.063,-1.534,1.339,0.201,-0.874,-0.443,0.35,-0.104,0.85,-1.34,0.565,-1.05,-0.348,0.411,-0.575,0.619,1.922,0.002,-0.079,-1.796,-1.238,1.44,-0.564,0.368,1.479,0.269,1.297,-0.57,0.057,0.314,0.241,-0.435,0.742,0.695,-1.127,-1.853,-1.033,-1.067,-0.415,-0.53,1.413,-0.602,-0.027,0.201,-0.561,-1.168,-0.729,-0.341,0.818,3.367,-1.289,-1.58,0.65,0.143,-1.049,-1.281,-0.417,-0.056,0.383,0.103,1.365,0.751,-1.414,0.504,0.327,1.067,-0.647,-0.123,-1.165,0.46,0.628,-0.003,-2.628,-0.02,0.071,-1.705,-0.228,-0.048,0.347,1.664,0.688,-0.718,-1.084,0.659,-2.087,-2.242,-0.294,0.233,1.988
-0.012,0.614,-1.413,-0.013,-1.134,0.324,-0.324,-2.759,-0.435,0.512,-0.727,0.026,1.524,0.632,0.745,-0.522,1.577,-0.438,0.251,0.188,-0.632,-0.034,-1.64,0.662,1.342,0.176,1.445,0.632,1.708,-2.856,-0.339,0.361,0.542,1.421,0.717,-0.707,-1.395,0.257,-0.218,1.451,2.128,-2.455,0.544,0.669,-2.863,1.525,0.721,-1.752,-1.473,0.14,-0.964,-0.291,-1.416,-1.069,-0.267,-0.751,-0.663,0.903,-1.009,-0.877,-0.59,-0.106,1.233,-0.246,0.8,-0.062,0.362,0.5,-2.461,-0.32,-1.809,0.15,-0.262,0.074,-0.482,1.885,-0.141,-1.449,-0.779,0.566,0.422,-1.818,-1.069,0.808,0.827,0.802,0.497,-0.364,0.707,-0.982,0.111,0.014,-0.141,-1.932,-0.936,0.533,-1.14,-0.043,-0.276,-0.157
1.268,-0.282,0.118,-1.687,3.242,0.96,0.96,0.265,0.002,-0.115,-1.795,-0.829,-0.258,1.804,1.324,-0.666,0.127,1.399,0.838,-2.296,-0.677,2.389,-0.26,0.145,-0.296,1.172,-1.027,0.646,0.167,-0.602,-2.01,0.015,-0.417,-0.447,0.893,-1.624,0.089,0.052,-1.492,-0.279,-1.717,0.374,-0.503,0.696,0.878,0.449,-0.768,1.216,-1.036,0.821,-0.641,-1.801,-0.105,-0.501,-0.748,0.369,-2.593,0.777,1.375,0.424,-0.263,-0.212,-0.249,0.275,-0.064,-1.405,1.148,0.565,-0.943,0.808,0.598,-0.438,-0.386,-0.023,0.235,-2.124,-0.926,1.025,-1.21,-0.016,0.642,0.058,2.191,-1.193,0.315,0.391,-0.25,0.647,-0.192,1.813,-0.346,-1.154,0.203,2.629,1.353,-2.047,0.884,0.513,-0.239,-0.243
0.939,0.389,-0.896,0.43,-2.263,-1.05,-1.05,0.602,0.56,-0.651,0.714,-0.013,-0.349,0.26,-1.143,-0.168,-0.208,0.555,1.239,0.747,1.146,-0.572,0.115,-1.925,-1.489,-0.141,1.14,-0.428,0.223,-1.308,1.126,-0.347,-0.109,0.68,-1.546,0.089,0.828,1.132,-0.459,-0.063,-1.101,0.698,-2.021,-0.046,0.555,0.007,0.661,0.912,0.052,-0.179,0.499,-2.306,0.365,0.183,-2.055,0.818,-0.42,0.033,0.677,-2.796,-1.285,0.183,1.434,0.898,-1.44,2.036,0.473,-0.257,0.591,-0.314,0.107,0.138,0.103,-1.039,-0.095,0.72,2.024,-0.641,-1.53,-2.292,-0.902,1.161,1.975,1.078,-0.509,2.71,0.727,-1.241,-1.063,-0.817,1.221,-0.329,-0.646,-0.08,0.024,1.498,0.069,-1.829,-1.39,-1.656
-0.871,0.167,1.163,0.547,-1.656,-0.968,-0.968,0.489,-1.556,0.38,-0.013,-0.276,1.046,0.687,-0.297,-1.338,1.837,1.359,-0.5,-0.161,0.271,-0.611,2.578,1.082,-0.109,-0.475,-0.623,-1.664,0.154,0.288,-2.115,1.278,2.116,0.949,-0.997,0.636,0.711,0.094,0.774,-1.393,2.275,0.295,1.985,1.196,-0.508,2.072,-0.916,-0.047,0.367,-0.38,0.249,-0.923,1.874,-1.283,-0.075,0.689,0.129,0.3,-0.775,-0.859,0.11,-1.776,2.075,-0.67,2.103,0.657,-0.226,1.191,1.045,1.245,1.553,0.325,-0.616,0.953,-1.704,-0.111,-1.741,0.726,1.003,0.07,2.004,-0.467,-1.066,0.112,1.325,-2.106,-0.179,-0.096,-0.475,-1.839,-1.207,-0.44,1.301,0.861,0.884,1.871,-0.413,0.533,1.384,1.643
0.622,-0.224,1.369,-0.775,-1.296,-0.508,-0.508,1.311,-0.23,0.617,0.047,-1.297,-0.03,-1.669,2.056,-0.038,-0.177,0.862,-0.865,-0.772,-0.44,-1.386,-0.753,-0.613,0.749,-1.303,0.778,1.791,-0.498,-0.209,-3.259,0.176,0.839,-1.334,1.185,0.436,0.265,0.132,-0.125,0.61,1.067,-0.465,-0.183,0.647,-0.397,-0.504,-0.98,-0.057,0.37,-1.121,-1.678,-0.102,-0.484,0.394,-1.55,-0.085,0.437,0.22,-0.133,0.472,-0.087,-0.963,-0.608,0.239,0.552,-0.517,0.189,-0.532,0.755,0.975,-0.346,1.509,-1.531,1.116,1.044,-1.438,-0.95,-1.535,-1.498,-0.465,0.483,0.454,1.594,0.24,2.014,0.486,0.678,-1.189,0.437,-0.52,-0.51,0.502,0.89,0.284,1.706,-0.834,-0.186,-0.679,0.513,-0.524
-0.881,-0.223,-0.28,-0.018,-0.524,-0.13,0.13,1.006,1.669,-1.026,-0.073,-0.346,-1.428,0.247,2.315,0.617,0.417,1.372,1.008,-0.69,1.586,-0.615,-0.226,0.305,0.586,-0.431,-0.29,-0.543,-0.043,0.456,1.698,-0.359,-0.873,-0.5,0.019,-0.426,-0.749,1.136,0.732,1.025,-0.597,-0.265,0.26,1.195,0.007,1.089,-0.34,0.326,-0.773,2.107,0.959,-1.127,-1.567,2.147,0.75,-0.579,-0.561,-0.628,-0.065,0.891,-0.492,-0.297,0.124,-1.533,2.628,-0.92,-1.222,-0.182,1.559,0.178,0.224,0.675,1.036,-1.212,0.058,1.647,1.509,1.812,0.747,-0.189,-0.037,1.73,0.197,0.409,-0.879,0.574,0.199,0.153,-0.381,0.661,1.138,1.679,1.421,-1.199,-2.003,-1.419,-0.416,1.145,0.278,-1.404
0.526,-0.123,1.062,0.399,6.457,0.141,-0.141,-1.096,1.033,0.293,-0.473,-0.236,0.952,-0.976,0.419,-0.665,1.117,-0.414,-0.758,0.173,0.532,-0.079,-0.834,1.429,-0.633,1.967,1.398,-1.752,-0.307,0.797,-0.894,1.159,-1.606,-0.027,-1.1,0.304,0.412,1.07,1.315,0.054,-0.696,0.623,0.227,-2.629,0.858,-0.687,-1.309,-1.02,0.045,-1.079,1.799,-0.34,-1.25,-0.198,1.462,0.858,-1.64,-0.152,0.472,0.023,1.246,1.637,-1.034,0.408,-0.64,0.856,-0.787,0.403,0.242,0.176,0.053,0.655,-0.422,-0.804,0.147,0.554,-1.139,0.553,1.047,-0.224,0.771,-0.593,0.375,0.704,-0.97,-0.27,0.984,0.474,-1.909,0.033,-1.461,2.787,0.349,0.503,-0.801,-1.158,0.137,-0.437,-0.539,0.922
